Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Education And/Or Training | Vocational Education and Training/TAFE,2,"Central & North Coasts - Newcastle & Hunter Valley|| Illawarra & South Coast|| Regional NSW|| Sydney Region|| Statewide|| Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region|| Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast|| Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast|| Illawarra & South Coast / Goulburn & Southern Tablelands|| Illawarra & South Coast / Wollongong & The South Coast|| Regional NSW / Bathurst & Central West NSW|| Regional NSW / Dubbo & West NSW|| Regional NSW / Riverina & Murray|| Regional NSW / Tamworth & North West NSW|| Sydney Region / Sydney - Inner West|| Sydney Region / Sydney - North/North West|| Sydney Region / Sydney - South|| Sydney Region / Sydney - West|| Sydney Region / Sydney City|| Sydney Region / Sydney - Greater West|| Sydney Region / Sydney - East",,,,https://iworkfor.nsw.gov.au/job/product-specialist-111129,Full-Time,000066GX,02 6659 3104 - Andrea Poletti,"$132,891.00 Package includes salary ($116,988.00 - $119,884.00), employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,TAFE NSW,Product Specialist
Projects | Project Management,2,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-project-coordinator-111124,Full-Time,000065G3,bethany.fivey@service.nsw.gov.au - Beth Fivey,"$112,767.99 Package includes salary ($86,293- $101,738), employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Service NSW,Senior Project Coordinator
Nursing and Midwifery | Nursing Unit Manager,1,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",,,,https://iworkfor.nsw.gov.au/job/nursing-unit-manager-children-s-ward-gosford-hospital-111133,Full-Time,REQ41046,,"$112,710.93 - $112,710.93",,04/06/2018 - 11:59 PM,Central Coast Local Health District,Nursing Unit Manager - Children's Ward - Gosford Hospital
Research and Analysis | Reporting,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/hr-and-finance-reporting-manager-111125,Full-Time,000065IK,02 8879 9059 - Xinlin Chang,"($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,HR and Finance Reporting Manager
Community | Family Support,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/domestic-and-family-violence-coordinator-northern-region-command-newcastle-nsw-police-force-111126,Full-Time,0000669Z,(02) 4929 0603 - Detective Superintendent Wayne Humphrey,"$128,179. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Field Operations,"Domestic and Family Violence Coordinator - Northern Region Command, Newcastle - NSW Police Force"
Information and Communications Technology | IT Professional,1,Illawarra & South Coast / Goulburn & Southern Tablelands,,,,https://iworkfor.nsw.gov.au/job/senior-manager-application-development-111119,Full-Time,0000669P,02 8276 8331 - Bob Millevoi,"$156,294. Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,"Department of Finance, Services and Innovation","Senior Manager, Application Development"
Accounting and Financial | Financial Analysis/Research/Reporting,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/manager-activity-based-funding-abf-and-costing-111123,Full-Time,REQ42098,,"$121,246.00 - $145,063.00",,30/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,"Manager, Activity Based Funding (ABF) and Costing"
CEO | Director,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/director-policy-biodiversity-111111,Full-Time,000066QX,0488 666 699 - Zak Beer,"Total remuneration package range is from $183,300 to $261,450",,30/05/2018 - 11:59 PM,Planning and Environment,Director Policy (Biodiversity)
Education And/Or Training | Education and Training Officer,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/emr-training-support-officer-st-george-sutherland-calvary-hospitals-111116,Full-Time,REQ41550,,"$93,099.00 - $110,422.00",,30/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,"eMR Training & Support Officer - St George, Sutherland & Calvary Hospitals"
Research and Analysis | Analysis,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/external-research-program-officer-111110,Full-Time,000066TK,02 8753 9164 - Melissa Burgess,"($92,470 - 102,359), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,External Research Program Officer
Administration and Clerical | Office Management,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/contact-centre-operations-lead-clerk-grade-9-10-182270-111109,Full-Time,000062RP,02 8699 1036 - Reece Mahoney,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Department of Education,Contact Centre Operations Lead - Clerk Grade 9/10 - 182270
"Mental Health, Drug & Alcohol",1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-manager-sutherland-hospital-adult-community-mental-health-110879,Full-Time,REQ35484,,"$64,618.00 - $107,613.08",,29/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Clinical Manager- Sutherland Hospital Adult Community Mental Health
Investigation | Analyst,2,Sydney Region / Sydney - South,,,,https://iworkfor.nsw.gov.au/job/senior-evaluation-officer-111101,Full-Time,00006623,02 8753 9164 - Melissa Burgess,"$105,409 pa - $116,157 pa plus employers contribution to superannuation and annual leave loading",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Senior Evaluation Officer
Property and Real Estate | Property Development,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/manager-major-projects-111100,Full-Time,0000668W,02 9146 6660 - Alice Luk,"$128,760 package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Property and Advisory Group,"Manager, Major Projects"
Pathology | Hospital Scientist,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/laboratory-manager-111104,Full-Time,REQ38752,,"$119,400.22 - $126,126.04",,30/05/2018 - 11:59 PM,NSW Health Pathology,Laboratory Manager
Nursing and Midwifery | Nursing Unit Manager,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-111105,Full-Time,REQ37989,,"$112,710.93 - $112,710.93",,30/05/2018 - 11:59 PM,Northern Sydney Local Health District,Nurse Unit Manager
Research and Analysis | Analysis,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/evaluation-officer-110880,Full-Time,000065IM,02 8753 9164 - Melissa Burgess,"($92,470 - 102,359), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Evaluation Officer
"Mental Health, Drug & Alcohol",1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/school-links-co-ordinator-tweed-mental-health-services-111095,Part-Time,REQ42490,,"$93,099.00 - $110,422.00",,30/05/2018 - 11:59 PM,Northern NSW Local Health District,"School Links Co-ordinator, Tweed Mental Health Services"
Projects | Program Manager,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/facility-coordinator-111096,Full-Time,REQ40308,,"$108,255.00 - $123,411.00",,30/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Facility Coordinator
Policy,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-policy-officer-aboriginal-identified-111083,Full-Time,0000667N,02 9367 8189 - Jill Heinrich,"$127,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annuL leave loading.",,12/06/2018 - 11:59 PM,NSW Education Standards Authority,Senior Policy Officer (Aboriginal identified)
Property and Real Estate | Property Development,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-manager-major-projects-111081,Full-Time,0000668P,02 9146 6660 - Alice Luk,"$156,294. Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,"Department of Finance, Services and Innovation","Senior Manager, Major Projects"
Governance | Quality Management|| Regulatory and Compliance | Legislation|| Regulatory and Compliance | Assessing|| Regulatory and Compliance | Audit|| Regulatory and Compliance | Investigation,,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/manager-integrity-risk-111114,Full-Time,496372,,Clerk Grade 11/12,,30/05/2018 - 11:55 PM,Department of Industry - Liquor & Gaming NSW,Manager Integrity & Risk
Projects | Program Management,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-operations-officer-111084,Full-Time,000066CX,02 9367 8828 - Brownyn Hughes,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,NSW Education Standards Authority,Senior Operations Officer
Policy,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/principal-policy-officer-111082,Full-Time,000066EU,02 9367 8189 - Jill Henrich,"$156,294. Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,NSW Education Standards Authority,Principal Policy Officer
Health - Allied | Pharmacy,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/pharmacist-grade-2-lismore-111088,Full-Time,REQ38314,,"$95,335.47 - $101,262.95",,30/05/2018 - 11:59 PM,Northern NSW Local Health District,Pharmacist Grade 2 - Lismore
Projects,2,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/project-officer-clerk-grade-7-8-aboriginal-affairs-identified-178647-198789-111080,Full-Time,000064U0,(02) 5712 9067 - Archie Tanna,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Department of Education,Project Officer - Clerk Grade 7/8 - Aboriginal Affairs - Identified - 178647 & 198789
