Job Category:,Number of Positions:,Job Location:,Staffing Area:,Contact:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,FTE:,Organisation/Entity:,job_title
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Central Coast,02 4353 1088 - Lea Mundey,Wyong High School,Wyong,https://iworkfor.nsw.gov.au/job/head-teacher-mathematics-wyong-high-school-111045,,00006398,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Mathematics - Wyong High School
Schools | TCH Other,1,Sydney Region,Blacktown,02 9629 2518 - Fiona Gracie,Parklea Public School,The Hills,https://iworkfor.nsw.gov.au/job/assistant-principal-special-education-general-parklea-public-school-111046,,00005T00,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00 plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal Special Education - General - Parklea Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Central Coast,02 4325 0594 - Mr Scott Campbell,Point Clare Public School,Gosford,https://iworkfor.nsw.gov.au/job/assistant-principal-point-clare-public-school-111047,,000064OH,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Point Clare Public School
Schools | Teachers,1,Sydney Region,Hornsby,02 9634 3777 - Craig Oliver,Castle Hill Public School,Dural,https://iworkfor.nsw.gov.au/job/teacher-castle-hill-public-school-111048,,0000638Z,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Castle Hill Public School
Schools | Teachers,1,Sydney Region,Ryde,02 9874 6544 - Nicole Brennan,Marsden High School,Hornsby,https://iworkfor.nsw.gov.au/job/teacher-mathematics-technology-marsden-high-school-111049,,000063DM,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Mathematics/Technology  - Marsden High School
Schools | TCH Other,1,Sydney Region,Ryde,02 9954 7100 - Kathy Melky,Cammeraygal High School,North Sydney,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-cammeraygal-high-school-111050,,0000638J,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Cammeraygal High School
Schools | Teachers,1,Sydney Region,Fairfield,02 9726 2424 - Lachlan Erskine,Cabramatta High School,Fairfield,https://iworkfor.nsw.gov.au/job/teacher-technology-cabramatta-high-school-111051,,000064I3,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Cabramatta High School
Schools | TCH Other,1,Sydney Region,St George,02 9570 4602 - Ross Angus,Penshurst West Public School,Georges River,https://iworkfor.nsw.gov.au/job/assistant-principal-penshurst-west-public-school-111052,,000064JJ,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Penshurst West Public School
Schools | TCH Other,1,Sydney Region,Port Jackson,02 9698 1961 - Tamaris Cameron,Alexandria Park Community School,Port Jackson,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-alexandria-park-community-school-111053,,0000655J,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Alexandria Park Community School
Schools | TCH Other,1,Sydney Region,Ryde,02 9809 4894 - Karl Berthold,Ryde Secondary College,Ryde,https://iworkfor.nsw.gov.au/job/head-teacher-mathematics-ryde-secondary-college-111054,,000065TS,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Mathematics - Ryde Secondary College
Schools | Teachers,1,Regional NSW,Clarence/Coffs Harbour,02 6659 3371 - Charles Bellemore,Coffs Harbour Senior College,Coffs Harbour,https://iworkfor.nsw.gov.au/job/teacher-studies-of-religion-0-5-fte-coffs-harbour-senior-college-111055,,00006534,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",0.500,Teaching Service,Teacher Studies of Religion (0.5 FTE) - Coffs Harbour Senior College
Schools | Teachers,1,Sydney Region,Port Jackson,02 9660 5688 - Robert Bury,Sydney Secondary College Blackwattle Bay Campus,Iron Cove,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-sydney-secondary-college-blackwattle-bay-campus-111056,,000065X8,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Human Society and its Environment - Sydney Secondary College Blackwattle Bay Campus
Schools | Teachers,1,Sydney Region,Ryde,02 9955 4748 - Adrian Shipp,North Sydney Boys High School,North Sydney,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-north-sydney-boys-high-school-111057,,000065WN,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Human Society and Its Environment - North Sydney Boys High School
Schools | TCH Other,1,Regional NSW,Clarence/Coffs Harbour,02 6653 1666 - Michael Hepi,Sawtell Public School,Coffs Harbour,https://iworkfor.nsw.gov.au/job/assistant-principal-sawtell-public-school-111058,,000063GM,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Sawtell Public School
Schools | TCH Other,1,Sydney Region,Fairfield,02 9726 2424 - Elizabeth Godwin,Cabramatta High School,Fairfield,https://iworkfor.nsw.gov.au/job/head-teacher-intensive-english-centre-cabramatta-high-school-111059,,000064LE,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Intensive English Centre - Cabramatta High School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,02 4933 7933 - Edith McLennan,Maitland High School,Maitland,https://iworkfor.nsw.gov.au/job/teacher-personal-development-health-and-physical-education-maitland-high-school-111060,,000063QT,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,"Teacher Personal Development, Health and Physical Education - Maitland High School"
Schools | TCH Other,1,Illawarra & South Coast,Queanbeyan,02 4821 4022 - Paul Hogan,Goulburn High School,Southern Tablelands,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-goulburn-high-school-111061,,000064U9,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Goulburn High School
Schools | Teachers,1,Sydney Region,Penrith,0412 469 583 - Joel MacRae,Penrith High School,Penrith,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-penrith-high-school-111062,,000065U5,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Human Society and its Environment - Penrith High School
Education And/Or Training,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,(02) 4932 5999 - Michael Whiting,,,https://iworkfor.nsw.gov.au/job/business-manager-clerk-grade-7-8-207115-111063,Full-Time,000064TK,30/05/2018 - 11:59 PM,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,Department of Education,Business Manager - Clerk Grade 7/8 - 207115
Schools | TCH Other,1,Sydney Region,Campbelltown,02 4647 7116 - Kelly Paton,Harrington Park Public School,Macarthur,https://iworkfor.nsw.gov.au/job/assistant-principal-harrington-park-public-school-111064,,000064WL,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Harrington Park Public School
Schools | Teachers,1,Sydney Region,Campbelltown,02 4646 1223 - Dale Sessions,Narellan Public School,Macarthur,https://iworkfor.nsw.gov.au/job/teacher-narellan-public-school-111065,,0000664X,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Narellan Public School
Schools | Teachers,1,Sydney Region,Ryde,02 9489 3086 - Tom Moth,Wahroonga Public School,Hornsby,https://iworkfor.nsw.gov.au/job/teacher-learning-and-support-0-6-fte-wahroonga-public-school-111066,,00006417,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",0.600,Teaching Service,Teacher Learning and Support (0.6 FTE) - Wahroonga Public School
Schools | Teachers,1,Sydney Region,Sutherland,0425218457 - Craig Marland,Endeavour Sports High School,Port Hacking,https://iworkfor.nsw.gov.au/job/teacher-mathematics-technology-endeavour-sports-high-school-111067,,00006488,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Mathematics/Technology - Endeavour Sports High School
Schools | TCH Other,1,Sydney Region,Parramatta,02 9208 7611 - Andrew Williamson,Parramatta East Public School,Parramatta,https://iworkfor.nsw.gov.au/job/principal-level-p2-parramatta-east-public-school-110979,,0000624Y,30/05/2018 - 04:00 PM,"The total remuneration package will be $165,090.00. This classification attracts a base salary of $149,039.00.",1.000,Teaching Service,Principal Level P2 - Parramatta East Public School
Projects | Project Support,1,Sydney Region / Sydney - West,,,,,https://iworkfor.nsw.gov.au/job/clinical-research-manager-110973,Full-Time,REQ39145,28/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,Sydney Children's Hospital Network,Clinical Research Manager
Projects | Change Management,1,Sydney Region,,,,,https://iworkfor.nsw.gov.au/job/improvement-advisor-mental-health-110965,Full-Time,REQ24498,29/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,South Eastern Sydney Local Health District,"Improvement Advisor, Mental Health"
Information and Communications Technology | Systems Administration,1,Sydney Region / Sydney - West,,,,,https://iworkfor.nsw.gov.au/job/schn-emr-training-and-support-officer-110956,Full-Time,REQ33470,28/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Sydney Children's Hospital Network,SCHN - eMR Training and Support Officer
Health - Allied | Clinical Psychologist,1,Sydney Region,,,,,https://iworkfor.nsw.gov.au/job/clinical-psychologsit-child-protection-unit-110954,Part-Time,REQ39761,14/07/2018 - 11:59 PM,"$92,565.00 - $113,518.00",,Sydney Children's Hospital Network,"Clinical Psychologsit, Child Protection Unit."
Governance,1,Sydney Region / Sydney City,,(02) 9995 5712 - Paul Elton,,,https://iworkfor.nsw.gov.au/job/manager-strategy-and-governance-110953,Full-Time,0000662A,29/05/2018 - 11:59 PM,"$173,278. Package includes salary ($140,953 - $156,318), employer's contribution to superannuation and annual leave loading.",,Biodiversity Conservation Trust,"Manager, Strategy and Governance"
Accounting and Financial | Financial Control/Management,1,Sydney Region / Sydney City,,(02) 9995 5712 - Paul Elton,,,https://iworkfor.nsw.gov.au/job/manager-funds-and-financing-110950,Full-Time,0000662B,29/05/2018 - 11:59 PM,"$173,278. Package includes salary ($140,953 - $156,318), employer's contribution to superannuation and annual leave loading.",,Biodiversity Conservation Trust,"Manager, Funds and Financing"
Senior Executive,1,Sydney Region / Sydney City,,"(02) 8263 6368 - Nicole Miller - Director, Office of the Commissioner",,,https://iworkfor.nsw.gov.au/job/manager-executive-advisory-unit-office-of-the-commissioner-sydney-nsw-police-force-110949,Full-Time,000066QF,03/06/2018 - 11:59 PM,"Salary: $183,300 to $215,00",,Commissioners Office,"Manager, Executive Advisory Unit - Office of the Commissioner, Sydney - NSW Police Force"
Construction and Architecture | Building and Construction,1,Sydney Region / Sydney City,,recruitment@sydneyoperahouse.com - Lou Rosicky,,,https://iworkfor.nsw.gov.au/job/commissioning-and-completions-manager-110945,Full-Time,000066SD,31/05/2018 - 11:59 PM,"Base salary of $109,791 per annum plus 9.5% superannuation",,Sydney Opera House Trust,Commissioning and Completions Manager
Information and Communications Technology | Network and Server Management,1,Sydney Region / Sydney - West,,,,,https://iworkfor.nsw.gov.au/job/change-manager-110944,Full-Time,REQ43028,23/05/2018 - 11:59 PM,"$121,246.00 - $145,063.00",,Western NSW Local Health District,Change Manager
Marketing & Communications | Communications Marketing and Media,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,,https://iworkfor.nsw.gov.au/job/communication-manager-110546,Full-Time,REQ41528,27/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,Hunter New England Local Health District,Communication Manager
Sales and Marketing | Corporate Communications,1,Sydney Region / Sydney - Inner West,,nicholas.rafferty@tafensw.edu.au - Nicholas Rafferty,,,https://iworkfor.nsw.gov.au/job/senior-media-relations-manager-110929,Full-Time,000066PG,30/05/2018 - 11:59 PM,"$184,635. Package includes salary, employer's contribuation to superannuation and annual leave loading.",,TAFE NSW,Senior Media Relations Manager
,1,Location Negotiable,,,,,https://iworkfor.nsw.gov.au/job/public-health-epidemiologist-hm3-mnclhd-location-negotiable-perm-full-time-110930,Full-Time,REQ32538,29/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,Mid North Coast Local Health District,Public Health Epidemiologist HM3 - MNCLHD Location Negotiable - Perm Full Time
Administration and Clerical,1,Sydney Region,,(02) 9314 9312 - Giuseppina Fantuzzi,,,https://iworkfor.nsw.gov.au/job/senior-communications-advisor-clerk-grade-9-10-executive-division-central-sydney-temporary-110921,Full-Time,0000660Q,29/05/2018 - 11:59 PM,"Up to $128K. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,"Legal Aid Commission, Office of the",Senior Communications Advisor - Clerk Grade 9/10 - Executive Division - Central Sydney - Temporary
Information and Communications Technology,1,Sydney Region / Sydney - North/North West,,harpal.sabharwal@tafensw.edu.au - Harpal Sabharwal,,,https://iworkfor.nsw.gov.au/job/head-of-enterprise-architecture-ict-strategy-110739,Full-Time,000066KD,29/05/2018 - 11:59 PM,"$208,307.00. Package includes salary ($187,918.00), employer's contribution to superannuation and annual leave loading.",,TAFE NSW,Head of Enterprise Architecture & ICT Strategy
