Job Category:,Number of Positions:,Job Location:,Contact:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,Contact Email:,Organisation/Entity:,job_title
"Media, Publicity and Communications | Graphic Design",1,Sydney Region / Sydney City,0466 461 004 - Monica Radevski,https://iworkfor.nsw.gov.au/job/design-lead-wayfinding-109713,Full-Time,000065PF,20/05/2018 - 11:59 PM,"Transport Service Grade 8 ($109,589 - $122,739), plus employer's contribution to superannuation and annual leave loading.",,Customer Services Division,Design Lead - Wayfinding
Legal and Justice,1,Sydney Region / Sydney City,"9113 8210 - Sarah Froh, Registrar",https://iworkfor.nsw.gov.au/job/legal-secretary-executive-assistant-associate-to-chief-judge-land-environment-court-109710,Full-Time,000065WG,20/05/2018 - 11:59 PM,"$113,454. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,Courts and Tribunal Services,"Legal Secretary/Executive Assistant: Associate to Chief Judge, Land & Environment Court"
Information and Communications Technology | Network and Server Management,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/clinical-application-support-manager-109708,Full-Time,REQ37666,18/05/2018 - 11:59 PM,"$121,246.00 - $145,063.00",,South Eastern Sydney Local Health District,Clinical Application Support Manager
Accounting and Financial | Financial Control/Management,1,Sydney Region / Sydney - North/North West,02 8256 2572 - Julie Amato,https://iworkfor.nsw.gov.au/job/senior-manager-people-culture-busines-partner-109688,Full-Time,0000630N,20/05/2018 - 11:59 PM,An attractive remuneration package will be negotiated with the successful candidate.,,Business Services,"Senior Manager, People & Culture Busines Partner"
Customer Services and Call Centre,1,Sydney Region / Sydney - Inner West,02 8574 3550 - Claire Minahan,https://iworkfor.nsw.gov.au/job/solution-centre-team-leader-109689,Full-Time,000065VS,20/05/2018 - 11:59 PM,"Transport Service Grade 7 ($96,542 - $108,127), plus employers contribution to superannuation and annual leave loading",,People and Corporate Services,Solution Centre Team Leader
Community,1,Regional NSW / Dubbo & West NSW,(02) 6885 7104 or Lyall.gibbs2@facs.nsw.gov.au - Lyall Gibbs,https://iworkfor.nsw.gov.au/job/aboriginal-senior-client-relationship-officer-assets-109687,Full-Time,000064D5,18/05/2018 - 11:59 PM,"Salary range $92,470 pa - $102,359 plus employer's contribution to superannuation and annual leave loading",,Department of Family & Community Services,Aboriginal Senior Client Relationship Officer - Assets
Projects | Project Officer,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/project-officer-prm-109684,Full-Time,REQ39533,20/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,Agency for Clinical Innovation,"Project Officer, PRM"
Customer Services and Call Centre,1,Regional NSW / Dubbo & West NSW,02 8574 3550 - Claire Minahan,https://iworkfor.nsw.gov.au/job/solution-centre-team-leader-109682,Full-Time,000065VK,20/05/2018 - 11:59 PM,"Transport Service Grade 7 ($96,542 - $108,127), plus employers contribution to superannuation and annual leave loading",,People and Corporate Services,Solution Centre Team Leader
Administration and Clerical | Executive Support and Secretarial,1,Sydney Region / Sydney City,9219 5925 - Brendan Thomas,https://iworkfor.nsw.gov.au/job/executive-officer-clerk-grade-11-12-ongoing-central-sydney-109679,Full-Time,000064CZ,20/05/2018 - 11:59 PM,"Up to $156,224. Package includes salary ($121,917 - $140,996 pa), employer's contribution to superannuation and annual leave loading.",,"Legal Aid Commission, Office of the",Executive Officer - Clerk Grade 11/12 - Ongoing - Central Sydney
Oral Health | Dental Officers,1,Regional NSW / Bathurst & Central West NSW,,https://iworkfor.nsw.gov.au/job/dental-officer-109677,Full-Time,REQ38048,27/05/2018 - 11:59 PM,"$87,134.00 - $113,649.00",,Western NSW Local Health District,Dental Officer
Health - Allied | Clinical Psychologist,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/clinical-psychologist-pain-management-unit-109678,Full-Time,REQ37445,18/05/2018 - 11:59 PM,"$92,565.00 - $113,518.00",,South Eastern Sydney Local Health District,Clinical Psychologist - Pain management Unit
Education And/Or Training,1,Sydney Region / Sydney - East,(02) 9266 8165 - Jacqui Ward,https://iworkfor.nsw.gov.au/job/transition-advisor-seo-2-ets-192549-109673,Full-Time,000065FJ,20/05/2018 - 11:59 PM,"$150,141. Package includes salary ($135,445), employer's contribution to superannuation and annual leave loading.",,Department of Education,Transition Advisor - SEO 2 (ETS) - 192549
"Mental Health, Drug & Alcohol",1,Sydney Region,,https://iworkfor.nsw.gov.au/job/community-mental-health-cnc-st-george-hospital-109670,Full-Time,REQ34050,20/05/2018 - 11:59 PM,"$107,305.23 - $109,496.73",,South Eastern Sydney Local Health District,Community Mental Health CNC - St George Hospital
"Media, Publicity and Communications | Graphic Design",1,Sydney Region / Sydney - Inner West,0435 965 912 - Ashleigh Tratt,https://iworkfor.nsw.gov.au/job/digital-service-designer-109663,Full-Time,000065UI,20/05/2018 - 11:59 PM,"Transport Service Grade 8 ($109,589 - $122,739), plus employer's contribution to superannuation and annual leave loading.",,Customer Services Division,Digital Service Designer
Health - Allied | Clinical Psychologist,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/locum-clinical-neuropsychologist-prince-of-wales-hospital-109655,Part-Time,REQ34639,20/05/2018 - 11:59 PM,"$92,565.00 - $113,518.00",,South Eastern Sydney Local Health District,Locum Clinical Neuropsychologist - Prince of Wales Hospital
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/disaster-management-clinical-nurse-consultant-109658,Full-Time,REQ37433,20/05/2018 - 11:59 PM,"$111,667.36 - $113,884.95",,South Eastern Sydney Local Health District,Disaster Management Clinical Nurse Consultant
Human Resources and Recruitment | HR Generalist,1,Sydney Region / Sydney - Greater West,"0437013787 - Michele Paphitis, Director People Partnerships",https://iworkfor.nsw.gov.au/job/senior-hr-advisor-109647,Full-Time,000065LE,18/05/2018 - 11:59 PM,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Government and Corporate Services,Senior HR Advisor
Environmental,1,Sydney Region / Sydney City,0435 960 490 - Srivatsa Lakshmi Narayana,https://iworkfor.nsw.gov.au/job/environment-practitioner-00006430-109646,Full-Time,00006430,20/05/2018 - 11:59 PM,"RC Grade 7 ($135,315 - $148,879), plus employer's contribution to superannuation and annual leave loading.",,Safety Environment and Risk,Environment Practitioner 00006430
Research and Analysis | Analysis,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/nap-coordinator-109662,Full-Time,REQ39852,20/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,South Eastern Sydney Local Health District,NAP Coordinator
Community | Case Work,1,Sydney Region / Sydney - East,(02) 8346 1002 - Danielle Matsuo,https://iworkfor.nsw.gov.au/job/manager-countering-violent-extremism-cve-programs-clerk-grade-11-12-temporary-upto-24-months-long-bay-correctional-centre-109417,Full-Time,000064YZ,20/05/2018 - 11:59 PM,"$156,280. Package includes salary ($121,917 - $140,996 pa), employers contribution to superannuation and annual leave loading.",,Corrective Services NSW,"Manager, Countering Violent Extremism (CVE) Programs, Clerk Grade 11/12, Temporary upto 24 months, Long Bay Correctional Centre"
Research and Analysis,1,Sydney Region / Sydney - Inner West,02 8574 3546 - Guida Monteiro,https://iworkfor.nsw.gov.au/job/business-analyst-procurement-109644,Full-Time,000065JX,20/05/2018 - 11:59 PM,"RC Grade 5 ($100,531 - $115,960), plus employer's contribution to superannuation and annual leave loading.",,Finance & Business Services,Business Analyst - Procurement
